SP23,banh khoai nuong tok pho mai,ORION,20,20000,2023 08 20,2024 08 20
SP24,banh khoai nuong tok rong bien,ORION,20,20000,2023 08 20,2024 08 20
SP25,banh khoai nuong tok BBQ,ORION,20,20000,2023 08 20,2024 08 20
SP66,snack poca muc muoi ot,Lays vn,35,6000,2023 08 11,2024 08 11
SP67,snack poca bo luc lac,Lays vn,35,6000,2023 08 11,2024 08 11
SP68,snack poca ga quay,Lays vn,35,6000,2023 08 11,2024 08 11
SP69,snack poca bo nuong,Lays vn,35,6000,2023 08 11,2024 08 11
SP70,snack poca bo cay,Lays vn,35,6000,2023 08 11,2024 08 11
SP40,sua thtrue milk,TH,25,30000,2023 07 06,2024 07 06
SP41,sua thtrue milk khong duong,TH,25,30000,2023 07 06,2024 07 06
